state,value
Alabama,0.00
Louisiana,0.00
Mississippi,0.00
South Carolina,0.00
Tennessee,0.00
Oklahoma,2.00
Montana,4.00
Georgia,5.15
Wyoming,5.15
Iowa,7.25
Idaho,7.25
Indiana,7.25
Kansas,7.25
Kentucky,7.25
North Carolina,7.25
North Dakota,7.25
New Hampshire,7.25
Nevada,7.25
Ohio,7.25
Pennsylvania,7.25
Texas,7.25
Utah,7.25
Virginia,7.25
Wisconsin,7.25
Maine,7.50
New Mexico,7.50
Missouri,7.65
Arizona,8.05
Florida,8.05
Delaware,8.25
Illinois,8.25
Maryland,8.25
Colorado,8.31
New Jersey,8.38
Michigan,8.50
South Dakota,8.55
West Virginia,8.75
Minnesota,9.00
Nebraska,9.00
New York,9.00
Oregon,9.25
Washington,9.47
Connecticut,9.60
Rhode Island,9.60
Vermont,9.60
Alaska,9.75
Arkansas,9.75
California,10.00
Massachusetts,10.00
